Cycle; TotalWork; QueueSize; WIP; TotalTeams; BusyTeams;
185;10000;9824;1;10;1;
186;10000;9823;2;10;2;
187;10000;9822;1;10;1;
188;10000;9821;2;10;2;
189;10000;9820;2;10;2;
190;10000;9819;1;10;1;
191;10000;9818;1;10;1;
192;10000;9817;1;10;1;
193;10000;9816;1;10;1;
194;10000;9815;1;10;1;
195;10000;9815;1;10;1;
196;10000;9814;1;10;1;
197;10000;9813;1;10;1;
198;10000;9812;2;10;2;
199;10000;9811;1;10;1;
200;10000;9810;2;10;2;
201;10000;9809;2;10;2;
202;10000;9808;1;10;1;
203;10000;9807;1;10;1;
204;10000;9806;2;10;2;
205;10000;9805;2;10;2;
206;10000;9804;1;10;1;
207;10000;9803;1;10;1;
208;10000;9802;2;10;2;
209;10000;9801;1;10;1;
210;10000;9800;2;10;2;
211;10000;9799;2;10;2;
212;10000;9798;2;10;2;
213;10000;9797;2;10;2;
214;10000;9796;2;10;2;
215;10000;9795;1;10;1;
216;10000;9794;2;10;2;
217;10000;9793;2;10;2;
218;10000;9792;1;10;1;
219;10000;9791;2;10;2;
220;10000;9790;1;10;1;
221;10000;9789;2;10;2;
222;10000;9788;1;10;1;
223;10000;9787;1;10;1;
224;10000;9786;2;10;2;
225;10000;9785;1;10;1;
226;10000;9784;2;10;2;
227;10000;9783;1;10;1;
228;10000;9782;2;10;2;
229;10000;9781;2;10;2;
230;10000;9780;1;10;1;
231;10000;9779;1;10;1;
232;10000;9778;2;10;2;
233;10000;9777;2;10;2;
234;10000;9776;2;10;2;
235;10000;9775;1;10;1;
236;10000;9774;2;10;2;
237;10000;9773;1;10;1;
238;10000;9772;2;10;2;
239;10000;9771;1;10;1;
240;10000;9771;1;10;1;
241;10000;9770;1;10;1;
242;10000;9769;2;10;2;
243;10000;9768;2;10;2;
244;10000;9767;2;10;2;
245;10000;9766;2;10;2;
246;10000;9765;2;10;2;
247;10000;9764;2;10;2;
248;10000;9763;1;10;1;
249;10000;9763;1;10;1;
250;10000;9762;1;10;1;
251;10000;9761;2;10;2;
252;10000;9760;2;10;2;
253;10000;9759;2;10;2;
254;10000;9758;2;10;2;
255;10000;9757;1;10;1;
256;10000;9756;1;10;1;
257;10000;9755;2;10;2;
258;10000;9754;2;10;2;
259;10000;9753;2;10;2;
260;10000;9752;2;10;2;
261;10000;9751;2;10;2;
262;10000;9750;1;10;1;
263;10000;9749;1;10;1;
264;10000;9748;1;10;1;
265;10000;9747;1;10;1;
266;10000;9746;2;10;2;
267;10000;9745;2;10;2;
268;10000;9744;1;10;1;
269;10000;9743;1;10;1;
270;10000;9742;1;10;1;
271;10000;9741;2;10;2;
272;10000;9740;2;10;2;
273;10000;9739;2;10;2;
274;10000;9738;1;10;1;
275;10000;9737;1;10;1;
276;10000;9736;1;10;1;
277;10000;9735;1;10;1;
278;10000;9734;2;10;2;
279;10000;9733;2;10;2;
280;10000;9732;2;10;2;
281;10000;9731;1;10;1;
282;10000;9730;2;10;2;
283;10000;9729;1;10;1;
284;10000;9728;2;10;2;
285;10000;9727;1;10;1;
286;10000;9726;2;10;2;
287;10000;9725;2;10;2;
288;10000;9724;2;10;2;
289;10000;9723;1;10;1;
290;10000;9722;2;10;2;
291;10000;9721;2;10;2;
292;10000;9720;2;10;2;
293;10000;9719;2;10;2;
294;10000;9718;1;10;1;
295;10000;9717;1;10;1;
296;10000;9716;2;10;2;
297;10000;9715;2;10;2;
298;10000;9714;2;10;2;
299;10000;9713;2;10;2;
300;10000;9712;1;10;1;
301;10000;9712;1;10;1;
302;10000;9711;1;10;1;
303;10000;9710;1;10;1;
304;10000;9709;2;10;2;
305;10000;9708;1;10;1;
306;10000;9707;2;10;2;
307;10000;9706;2;10;2;
308;10000;9705;2;10;2;
309;10000;9704;2;10;2;
310;10000;9703;2;10;2;
311;10000;9702;1;10;1;
312;10000;9701;2;10;2;
313;10000;9700;1;10;1;
314;10000;9699;1;10;1;
315;10000;9698;1;10;1;
316;10000;9697;2;10;2;
317;10000;9696;1;10;1;
318;10000;9695;2;10;2;
319;10000;9694;1;10;1;
320;10000;9693;2;10;2;
321;10000;9693;1;10;1;
322;10000;9692;1;10;1;
323;10000;9691;2;10;2;
324;10000;9690;1;10;1;
325;10000;9689;1;10;1;
326;10000;9688;1;10;1;
327;10000;9687;2;10;2;
328;10000;9686;1;10;1;
329;10000;9685;1;10;1;
330;10000;9685;1;10;1;
331;10000;9684;1;10;1;
332;10000;9683;1;10;1;
333;10000;9682;1;10;1;
334;10000;9681;1;10;1;
335;10000;9680;2;10;2;
336;10000;9679;1;10;1;
337;10000;9678;2;10;2;
338;10000;9677;1;10;1;
339;10000;9676;1;10;1;
340;10000;9675;2;10;2;
341;10000;9674;1;10;1;
342;10000;9673;1;10;1;
343;10000;9672;2;10;2;
344;10000;9671;1;10;1;
345;10000;9670;1;10;1;
346;10000;9669;2;10;2;
347;10000;9668;2;10;2;
348;10000;9667;2;10;2;
349;10000;9666;1;10;1;
350;10000;9665;2;10;2;
351;10000;9664;1;10;1;
352;10000;9663;2;10;2;
353;10000;9662;1;10;1;
354;10000;9661;2;10;2;
355;10000;9660;1;10;1;
356;10000;9659;2;10;2;
357;10000;9658;1;10;1;
358;10000;9657;1;10;1;
359;10000;9656;1;10;1;
360;10000;9655;2;10;2;
361;10000;9654;1;10;1;
362;10000;9653;2;10;2;
363;10000;9652;1;10;1;
364;10000;9651;1;10;1;
365;10000;9650;1;10;1;
366;10000;9649;1;10;1;
367;10000;9648;2;10;2;
368;10000;9647;2;10;2;
369;10000;9646;2;10;2;
370;10000;9645;1;10;1;
371;10000;9644;2;10;2;
372;10000;9643;1;10;1;
